HB.import_ref,HB.location,HB.labels,HB.asset_id,HB.archived,HB.url,HB.name,HB.quantity,HB.description,HB.insured,HB.notes,HB.purchase_price,HB.purchase_from,HB.purchase_time,HB.field.invoice,HB.manufacturer,HB.model_number,HB.serial_number,HB.lifetime_warranty,HB.warranty_expires,HB.warranty_details,HB.sold_to,HB.sold_price,HB.sold_time,HB.sold_notes
bfd3fd6c,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Gripzange,1,ovale Backen 250mm,false,https://amazon.de/dp/B01IGKKBN6,4.9375,CCLIFE Technic GmbH,2025-04-07,2025-04-10 - Amazon Business EU S.à.r.l - DE51Y47SABEI,CCLIFE,,,,,,,,,
dba9dcd5,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Gripzange,1,Langbeck 150mm,false,https://amazon.de/dp/B01IGKKBN6,4.9375,CCLIFE Technic GmbH,2025-04-07,2025-04-10 - Amazon Business EU S.à.r.l - DE51Y47SABEI,CCLIFE,,,,,,,,,
eeebc05b,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Hammer ,1,200g,false,https://amazon.de/dp/B01MQNGXUY,4.99,ABEU SARL DE.,2025-04-07,2025-04-09 - Amazon Business EU S.à.r.l – DE51XZRVABEI,Meister,2211000,,,,,,,,
23aa76aa,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Wasserpumpenzange,1,,false,https://endlich-sicher.de/wasserpumpenzange-alligator-kopf-poliert-griffe-mit-rutschhemmenden-kunststoffhuellen/4245102053,15.34,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,88 01 250 ,,,,,,,,
76f478f8,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Radiozange,1,,false,https://endlich-sicher.de/knipex-radiozange-vde-gewinkelt-160mm/4243304287,22.68,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,25 26 160 ,,,,,,,,
4b5b4905,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Storchschnabelzange,1,,false,https://endlich-sicher.de/knipex-storchschnabelzange-vde-gerade-mit-mehrkomponenten-griffen-200mm/4243304313,24.54,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,26 16 200,,,,,,,,
3dda8876,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Sicherungsringzangen,1,"Set, gerade Innenzange. gebogene Innenzange, gerade Außenzange, gebogene Außenzange",false,https://www.amazon.de/dp/B09T6QQ374?th=1,20.99,WISEUP TOOLS OFFICAL,2025-04-09,2025-04-10 - Amazon Business EU S.à.r.l – DE51YEZLABEI,WISEUP,WP012003BG1,,,,,,,,
f154c11d,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Kombizange,1,,false,https://endlich-sicher.de/kombizange-aus-spezial-werkzeugstahl-kopf-poliert-griffe-mit-mehrkomponenten-kunststoffhuellen/4243302053,13.19,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,03 02 180,,,,,,,,
7cee334f,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Gewindebohrer, M3-M12",1,15tlg.,false,https://amazon.de/gp/product/B0038LH1N2,25.73,ABEU SARL DE.,2025-04-11,2025-04-14 - Amazon Business EU S.à.r.l – DE520S8ZABEI,Projahn,91013,,,,,,,,
ea5e0913,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Senkbohrer,1,,false,https://amazon.de/gp/product/B0DTHV7MKW,16.14,ABEU SARL DE.,2025-04-11,2025-04-12 - Amazon Business EU S.à.r.l – DE51ZNUMABEI,UNOSEKS,,,,,,,,,
2c52094e,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Arbeitslampe,2,,false,https://amazon.de/dp/B07MJBLYZ2,9.94,PerPing,2025-04-07,2025-04-10 - Amazon Business EU S.à.r.l – DE51Y47SABEI,Coquimbo,,,,,,,,,
5d3bd2ab,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Cuttermesser, 9mm",1,,false,https://amazon.de/dp/B01N1RMEG9,7.97,AK Handelsgesellschaft,2025-04-07,2025-04-08 - AK Klimatechnik GmbH – DE5000PYJM29BI,Würth,2K-CUTTER,,,,,,,,
d6560658,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Cuttermesser, 18mm",1,,false,https://amazon.de/dp/B01N1RMEG9,7.97,AK Handelsgesellschaft,2025-04-07,2025-04-08 - AK Klimatechnik GmbH – DE5000PYJM29BI,Würth,2K-CUTTER 18mm,,,,,,,,
46fe6817,Repair Café,GehT weiter! - BMUV; Weiterbildung,,false,,Action-Kamera,1,"4K60FPS, 40m Wasserdicht, 170° Weitwinkel",false,https://amazon.de/dp/B0DNJRLJQ7,56.00,gooniee,2025-04-07,2025-04-10 - Amazon Business EU S.à.r.l – DE51Y47SABEI,Apexcam,M80,,,,,,,,
2a787851,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,"Einweghandschuhe, M",100,,false,https://amazon.de/dp/B00X81MA0Q,0.0489,sfmedicalproducts,2025-04-07,2025-04-08 - ORIPLAST GmbH – RE2235731,SF,Nitril,,,,,,,,
dd5b29c3,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,"Einweghandschuhe, L",100,,false,https://amazon.de/dp/B00X81M4FW,0.0489,sfmedicalproducts,2025-04-07,2025-04-08 - ORIPLAST GmbH – RE2235731,SF,Nitril,,,,,,,,
c9018643,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,"Arbeitshandschuhe, Größe 10",5,,false,https://amazon.de/dp/B07B8TNL1J,4504,ABEU SARL DE.,2025-04-09,2025-04-10 - Amazon Business EU S.à.r.l – DE51YF1RABEI,ATG,Maxiflex,,,,,,,,
b84f2dac,Repair Café,GehT weiter! - BMUV; Reinigung,,false,,"Wanne, 20L",1,60x40x12cm,false,https://amazon.de/dp/B00I89Q9AA,11.49,Land-Haus-Shop,2025-04-07,2025-04-08 - Marko Schneider – DE50069M4D6RTI,Kreuwel,3130078,,,,,,,,
5e33deb3,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,Handwaschpaste,2,,false,https://amazon.de/dp/B00KTGEQ4G,9.77,FIRATEC - Ihr Technischer Handelspartner,2025-04-07,2025-04-08 - Firatec - Alfred Weets e.K. - DE5004JZFOLBXI,DEB-Stoko Europe GmbH,SOLOPOL,,,,,,,,
022305d6,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,Spiritus,1,1L,false,https://www.amazon.de/BURI-Brennspiritus-Reinigungsmittel-Frostschutzmittel-Verdünner/dp/B0CB3NF3GW,11.38,1a-Handelsagentur 100% positiv ★★★★★,2025-04-07,2025-04-08 - Andre Burmeister 1a-Handelsagentur – DE500J2JNLQXRI,BURI,,,,,,,,,
f1d799a5,Repair Café,GehT weiter! - BMUV; Reinigung,,false,,Reinigungspinsel,6,,false,https://amazon.de/dp/B07R962ZGW,1.663333333,Deckmann Versandhandel,2025-04-07,2025-04-08 - Sascha Deckmann – RE1936634,Storz & Bickel,,,,,,,,,
368a4bcd,Repair Café,GehT weiter! - BMUV; Reinigung; Kaffee; Betriebsstoff,,false,,Kaffeefettlöser,1,Kaffeemaschinenreiniger Espressomaschinenreiniger Kaffeefettlöser Reiniger für Kaffeemaschinen / Espressomaschinen,false,https://amazon.de/dp/B004LCTBEO,16.49,SAVI SRL,2025-04-07,2025-04-08 - SA.VI. srl – IT500UYUWZVQ5U,COFFEE CLEAN,,,,,,,,,
