Ausgabenbereich,Zahlungsgrund/Gegenstand/Maßnahme,Zahlungsempfänger*in,Belegart,Zahlungsdatum,Belegnummer,Summe,Shop,Bestelldatum,Rechnungsdatum,Rechnungsnummer,Buchungstag,Kontoauszug,Betrag,Zahlungsreferenz,Link
Investive Maßnahme,Mechanik: Schrauben,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,66,"15,87 €",Amazon,07.04.2025,09.04.2025,DE51XZQZABEI,11.04.2025,2025-3 S. 5,"211,39 €",7F1M4O3ZRA598IHH,https://www.amazon.de/dp/B09CMKQR7D
Investive Maßnahme,Mechanik: Blindnietzange,Contorion GmbH,Rechnung + Kontoauszug,10.04.2025,67,"35,34 €",Amazon,07.04.2025,07.04.2025,302-3810350-8425908,10.04.2025,2025-3 S. 3,"35,34 €",QP4044M4SWOUDOV3,https://www.amazon.de/dp/B01M06EGX5
Investive Maßnahme,"Mechanik: Messschieber, digital",Guangzhou Jinyue Auto Parts Co. Ltd.,Rechnung + Kontoauszug,16.04.2025,68,"32,29 €",Amazon,07.04.2025,14.04.2025,DS-AEU-INV-DE-2025-174099438,16.04.2025,2025-3 S. 6,"71,24 €",59C3G6LIFPC0BHVH,https://www.amazon.de/dp/B0DCFT4B65
Investive Maßnahme,Mechanik: Radienlehre,MCT MultiChannelTrade GmbH,Rechnung + Kontoauszug,11.04.2025,69,"16,17 €",Amazon,07.04.2025,08.04.2025,DE502DXC6PXXPI,11.04.2025,2025-3 S. 5,"16,17 €",M6MUH8NH3HBP46M5,https://www.amazon.de/dp/B000VD1JGU
Investive Maßnahme,Mechanik: Fühlerlehre,Guangzhou Jinyue Auto Parts Co. Ltd.,Rechnung + Kontoauszug,15.04.2025,70,"8,54 €",Amazon,07.04.2025,14.04.2025,DS-AEU-INV-DE-2025-174099438,15.04.2025,2025-3 S. 5,"71,24 €",59C3G6LIFPC0BHVH,https://www.amazon.de/dp/B07B3TQQSV
Investive Maßnahme,Mechanik: Spiegel,YUANXIANG TECHNOLOGY LIMITED,Rechnung + Kontoauszug,16.04.2025,71,"5,99 €",Amazon,07.04.2025,15.04.2025,DE50034CXB7SDI,16.04.2025,2025-3 S. 6,"128,54 €",3EHEEUTMX5B47GWP,https://www.amazon.de/dp/B0CTF6ZX5L
Investive Maßnahme,Mechanik: Gewindelehre,SARL PONERA,Rechnung + Kontoauszug,17.04.2025,72,"9,47 €",Amazon,07.04.2025,16.04.2025,FR50HL8IM487DU,17.04.2025,2025-3 S. 6,"9,47 €",7BK03YPH2MGJ6OH4,https://www.amazon.de/dp/B001ILD66U
Investive Maßnahme,"Mechanik: Schraubendreher, lang",Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,73,"33,99 €",Amazon,07.04.2025,09.04.2025,DE51XKQ5ABEI,10.04.2025,2025-3 S. 3,"68,74 €",V4C56PCT4T9YHMUH,https://www.amazon.de/dp/B001DZXAI0
Investive Maßnahme,"Mechanik: Torx Schraubendreher, lang",Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,74,"34,70 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B004XMDEDQ
Investive Maßnahme,Mechanik: Inbusschlüsselsatz,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,75,"27,32 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B06XDCDHV8
Investive Maßnahme,Mechanik: Torxschlüsselsatz,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,76,"34,75 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"68,74 €",V4C56PCT4T9YHMUH,https://www.amazon.de/dp/B00E8HM9N2
Investive Maßnahme,Mechanik: Spezialbits,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,77,"66,99 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B000NI7RRS
Investive Maßnahme,Mechanik: Bit-Handhalter,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,78,"18,16 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B0015501B2
Investive Maßnahme,Mechanik: Schraubendreher,Johannes Lefeld GmbH & Co. KG,Rechnung + Kontoauszug,09.04.2025,79,"59,99 €",Amazon,07.04.2025,08.04.2025,2025-30159151,09.04.2025,2025-3 S. 2,"59,99 €",1AN8P652KAUT2YWT,https://www.amazon.de/dp/B007BZ2AQY
Investive Maßnahme,Mechanik: VDE Schraubendreher,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,80,"60,56 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B007BSNOCU
Investive Maßnahme,Mechanik: Bitset,iFixit GmbH,Rechnung + Kontoauszug,09.04.2025,81,"74,99 €",iFixit,08.04.2025,09.04.2025,INV0283709-DE,09.04.2025,2025-3 S. 1,"74,99 €",1041406980257,https://www.ifixit.com/de-de/products/pro-tech-toolkit
Investive Maßnahme,Mechanik: Feilen,SHENZHENSHI FANKUO KEJIYOUXIANGONGSI,Rechnung + Kontoauszug,16.04.2025,82,"18,98 €",Amazon,07.04.2025,15.04.2025,DS-AEU-INV-DE-2025-176614170,16.04.2025,2025-3 S. 6,"128,54 €",3EHEEUTMX5B47GWP,https://www.amazon.de/dp/B08BZFH1C4
Investive Maßnahme,Mechanik: Schleifpapier,S&R Industriewerkzeuge GmbH,Rechnung + Kontoauszug,15.04.2025,83,"15,73 €",Amazon,07.04.2025,14.04.2025,T25-7015444,15.04.2025,2025-3 S. 5,"71,24 €",59C3G6LIFPC0BHVH,https://www.amazon.de/dp/B09FLLP3Y4
Investive Maßnahme,Mechanik: Haken Set,Grapefruit Trade Kft,Rechnung + Kontoauszug,14.04.2025,84,"9,29 €",Amazon,07.04.2025,10.04.2025,302-4362839-5805167,14.04.2025,2025-3 S. 5,"32,27 €",6NB5YZ3PJ6GWHJTD,https://www.amazon.de/dp/B0D3QCTQSX
Investive Maßnahme,Mechanik: Messingbürsten,zhengzhoushiQianFengXinXiyouxiangongsi,Rechnung + Kontoauszug,14.04.2025,85,"2,99 €",Amazon,07.04.2025,11.04.2025,DS-AEU-INV-DE-2025-170704522,14.04.2025,2025-3 S. 5,"32,27 €",6NB5YZ3PJ6GWHJTD,https://www.amazon.de/dp/B0D8BJ5JF1
Investive Maßnahme,Mechanik: Fett,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,86,"6,60 €",Amazon,07.04.2025,09.04.2025,DE51XZSEABEI,11.04.2025,2025-3 S. 4,"14,30 €",W3UKR0SOZZW4GZ0U,https://www.amazon.de/dp/B001BAU3VY
Investive Maßnahme,Mechanik: Ringmaulschlüssel,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,87,"139,99 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B09TL1NJY2
Investive Maßnahme,Mechanik: Gripzangen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,88,"19,75 €",Amazon,07.04.2025,10.04.2025,DE51Y47SABEI,11.04.2025,2025-3 S. 4,"130,77 €",1872HQLUNFRWYLTT,https://www.amazon.de/dp/B01IGKKBN6
Investive Maßnahme,Mechanik: Hammer,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,89,"4,74 €",Amazon,07.04.2025,09.04.2025,DE51XZRVABEI,11.04.2025,2025-3 S. 4,"16,23 €",5WELJD3WTRC2ZDTL,https://www.amazon.de/dp/B01MQNGXUY
Investive Maßnahme,Mechanik: Wasserpumpenzange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,90,"15,34 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/wasserpumpenzange-alligator-kopf-poliert-griffe-mit-rutschhemmenden-kunststoffhuellen/4245102053?affiliateCode=es-de-idealo
Investive Maßnahme,Mechanik: Spitzzange gekrümmt,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,91,"22,68 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-radiozange-vde-gewinkelt-160mm/4243304287?affiliateCode=es-de-idealo
Investive Maßnahme,Mechanik: Spitzzange gerade,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,92,"24,54 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/knipex-storchschnabelzange-vde-gerade-mit-mehrkomponenten-griffen-200mm/4243304313?affiliateCode=es-de-idealo
Investive Maßnahme,Mechanik: Sicherungsringzangen,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,93,"20,99 €",Amazon,09.04.2025,10.04.2025,DE51YEZLABEI,11.04.2025,2025-3 S. 5,"20,99 €",5ENJ016WQS7OVL3V,https://www.amazon.de/dp/B09T6QQ374
Investive Maßnahme,Mechanik: Kombizange,FERSYS GmbH,Rechnung + Kontoauszug,11.04.2025,94,"13,19 €",endlich-sicher,10.04.2025,28.04.2025,F319861,11.04.2025,2025-3 S. 4,"440,56 €",1041450038925,https://endlich-sicher.de/kombizange-aus-spezial-werkzeugstahl-kopf-poliert-griffe-mit-mehrkomponenten-kunststoffhuellen/4243302053?affiliateCode=es-de-idealo
Investive Maßnahme,Mechanik: Schonhammer,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,95,"11,65 €",Amazon,07.04.2025,09.04.2025,DE51XONKABEI,11.04.2025,2025-3 S. 4,"11,65 €",72XH0E9EB1O1H7P5,https://www.amazon.de/dp/B07M62GDFH
Investive Maßnahme,Mechanik: Körner,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,96,"3,69 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B07CNX5RRB
